name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density
abalone,'Diameter',4177,0.5071,0.0515,0.095,0.65,0.4088,0.425,0.0994,-0.6108,-0.0468,0.065,0.13,0.8989,0.9872,0.7584,0.9068,0.9052,0.9827,4.3084,0.0081
abalone,'Diameter',4177,0.4554,0.0457,0.1,0.63,0.4076,0.425,0.0995,-0.6269,-0.0634,0.065,0.13,0.8891,0.9878,0.749,0.9072,0.8951,0.9833,4.3045,0.0089
abalone,'Diameter',4177,0.4032,0.0425,0.055,0.65,0.4074,0.425,0.0998,-0.5872,-0.112,0.065,0.135,0.799,0.9863,0.7557,0.9081,0.9013,0.9832,4.318,0.0082
abalone,'Diameter',4177,0.3582,0.0407,0.055,0.65,0.408,0.425,0.0989,-0.6249,0.0212,0.065,0.13,0.8065,0.9859,0.7472,0.9048,0.8946,0.9819,4.308,0.0081
abalone,'Diameter',4177,0.3062,0.0376,0.055,0.65,0.4065,0.42,0.0999,-0.5882,-0.0755,0.065,0.135,0.8076,0.9867,0.7473,0.9104,0.8965,0.9841,4.3255,0.0082
abalone,'Diameter',4177,0.2509,0.0345,0.055,0.63,0.406,0.42,0.099,-0.6003,-0.076,0.065,0.135,0.8097,0.9866,0.7448,0.9085,0.8939,0.9833,4.3151,0.0081
abalone,'Diameter',4177,0.2042,0.0331,0.055,0.65,0.4078,0.425,0.0989,-0.6001,-0.0568,0.065,0.13,0.817,0.9867,0.7475,0.908,0.8958,0.9834,4.3178,0.0081
abalone,'Diameter',4177,0.1434,0.031,0.055,0.65,0.4079,0.425,0.0991,-0.6262,-0.0185,0.065,0.13,0.8215,0.9865,0.7441,0.9066,0.893,0.9827,4.316,0.0079
abalone,'Diameter',4177,0.1013,0.0296,0.055,0.65,0.4085,0.425,0.0987,-0.5964,-0.0552,0.065,0.13,0.8237,0.9866,0.7448,0.9083,0.8936,0.9833,4.317,0.0079
abalone,'Diameter',4177,0.0431,0.0275,0.055,0.65,0.4078,0.425,0.099,-0.6113,-0.0362,0.065,0.13,0.8299,0.9868,0.7468,0.9082,0.895,0.9834,4.3215,0.0081
