name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,'Length',4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,DecisionTree,0.173426685038176,0.1728638346596718,0.1732154099413015,0.1719889392115582,0.1630107414220601,0.1656063291601899,0.1675160612956124,0.1656589890658494,0.1675193160991866
abalone,'Length',4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,LogisticRegression,0.1155688211049898,0.1725677212082748,0.1731993208116983,0.1373442664692839,0.131810154826053,0.1609306372253225,0.1621902963216671,0.1617895766699761,0.1601871214910837
abalone,'Length',4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,KNN,0.1627426939907522,0.1726845566563165,0.1571915751410558,0.1740038461001072,0.1657033831962186,0.1674331419287137,0.1677697538843604,0.1678344849332143,0.1618614250192219
abalone,'Length',4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,RandomForest,0.1808120212792923,0.1843964940438269,0.1898963735340244,0.1850081974953623,0.1778266282215118,0.17871048251547,0.18003793890282,0.1800143218043863,0.1803892788753717
abalone,'Length',4177,0.4913,0.0602,0.15,0.815,0.5254,0.545,0.1185,-0.5949,-0.0028,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4906,0.0058,AdaBoost,0.0868931037733731,0.0797826933873684,0.0797826933873684,0.0784660339441668,0.089348767559036,0.0886127739485737,0.0886127739485737,0.0886127739485737,0.0886127739485737
abalone,'Length',4177,0.5114,0.0627,0.14,0.815,0.5245,0.54,0.1206,-0.6093,-0.0429,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5117,0.0058,SVC,0.1436413617527957,0.1683992184930412,0.1705333276431329,0.159709868102261,0.1571448545076722,0.1632126870020994,0.1625039879124918,0.1632195840259783,0.1711299427803392
abalone,'Length',4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,DecisionTree,0.1688704886439994,0.1738281615358546,0.1811443820801952,0.1737106338722441,0.161653271621155,0.1718930506847725,0.1724536664879868,0.1718711651383193,0.1696282615747233
abalone,'Length',4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,LogisticRegression,0.129366609848084,0.1695865451320354,0.170945525641866,0.1412694739487763,0.1684664119992772,0.1670611705715867,0.1684814361955495,0.1676215578839651,0.1679485018703735
abalone,'Length',4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,KNN,0.151359166789969,0.1479420693187646,0.154661060422949,0.1585438515027269,0.1466242426287288,0.1645884945969488,0.1505122247618115,0.1625716761652527,0.1516229913339402
abalone,'Length',4177,0.4592,0.0558,0.13,0.78,0.5221,0.54,0.1196,-0.6275,0.0483,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4946,0.006,RandomForest,0.1799523431182115,0.185685561610962,0.1836541545882506,0.1752913092557744,0.1785401102190038,0.1774595614132521,0.1738657764665363,0.177220622710042,0.1798026789764594
