ml_method,dataset,best_parameter
DecisionTree,abalone,5
DecisionTree,BachChoralHarmony,25
DecisionTree,bank,5
DecisionTree,cancer,5
DecisionTree,car,5
DecisionTree,default of credit card clients,5
DecisionTree,drug,5
DecisionTree,electricity-normalized,10
DecisionTree,fried,10
DecisionTree,frogs,10
DecisionTree,german,5
DecisionTree,house,5
DecisionTree,iris,5
DecisionTree,letter,15
DecisionTree,mushrooms,10
DecisionTree,mv,5
DecisionTree,numerai28.6,20
DecisionTree,nursery,10
DecisionTree,phoneme,10
DecisionTree,ringnorm,10
DecisionTree,Run_or_walk_information,10
DecisionTree,shuttle,25
DecisionTree,soybean,5
DecisionTree,stars,5
DecisionTree,visualizing_soil,5
DecisionTree,wall-robot-navigation,5
LogisticRegression,abalone,10
LogisticRegression,BachChoralHarmony,1
LogisticRegression,bank,10
LogisticRegression,cancer,0.1
LogisticRegression,car,0.1
LogisticRegression,default of credit card clients,0.1
LogisticRegression,drug,10
LogisticRegression,electricity-normalized,10
LogisticRegression,fried,0.1
LogisticRegression,frogs,10
LogisticRegression,german,10
LogisticRegression,house,10
LogisticRegression,iris,1
LogisticRegression,letter,10
LogisticRegression,mushrooms,0.01
LogisticRegression,mv,10
LogisticRegression,numerai28.6,1
LogisticRegression,nursery,1
LogisticRegression,phoneme,1
LogisticRegression,ringnorm,0.001
LogisticRegression,Run_or_walk_information,0.001
LogisticRegression,shuttle,1
LogisticRegression,soybean,0.1
LogisticRegression,stars,10
LogisticRegression,visualizing_soil,10
LogisticRegression,wall-robot-navigation,10
KNN,abalone,11
KNN,BachChoralHarmony,5
KNN,bank,7
KNN,cancer,9
KNN,car,7
KNN,default of credit card clients,11
KNN,drug,3
KNN,electricity-normalized,11
KNN,fried,11
KNN,frogs,11
KNN,german,5
KNN,house,7
KNN,iris,3
KNN,letter,5
KNN,mushrooms,5
KNN,mv,11
KNN,numerai28.6,7
KNN,nursery,11
KNN,phoneme,3
KNN,ringnorm,9
KNN,Run_or_walk_information,9
KNN,shuttle,9
KNN,soybean,9
KNN,stars,3
KNN,visualizing_soil,3
KNN,wall-robot-navigation,3
RandomForest,abalone,5
RandomForest,BachChoralHarmony,25
RandomForest,bank,25
RandomForest,cancer,5
RandomForest,car,15
RandomForest,default of credit card clients,5
RandomForest,drug,10
RandomForest,electricity-normalized,20
RandomForest,fried,10
RandomForest,frogs,25
RandomForest,german,20
RandomForest,house,25
RandomForest,iris,5
RandomForest,letter,15
RandomForest,mushrooms,5
RandomForest,mv,10
RandomForest,numerai28.6,15
RandomForest,nursery,10
RandomForest,phoneme,25
RandomForest,ringnorm,10
RandomForest,Run_or_walk_information,15
RandomForest,shuttle,10
RandomForest,soybean,5
RandomForest,stars,10
RandomForest,visualizing_soil,5
RandomForest,wall-robot-navigation,25
AdaBoost,abalone,30
AdaBoost,BachChoralHarmony,30
AdaBoost,bank,70
AdaBoost,cancer,40
AdaBoost,car,60
AdaBoost,default of credit card clients,50
AdaBoost,drug,30
AdaBoost,electricity-normalized,60
AdaBoost,fried,60
AdaBoost,frogs,30
AdaBoost,german,30
AdaBoost,house,30
AdaBoost,iris,40
AdaBoost,letter,30
AdaBoost,mushrooms,30
AdaBoost,mv,50
AdaBoost,numerai28.6,30
AdaBoost,nursery,30
AdaBoost,phoneme,60
AdaBoost,ringnorm,70
AdaBoost,Run_or_walk_information,70
AdaBoost,shuttle,30
AdaBoost,soybean,30
AdaBoost,stars,30
AdaBoost,visualizing_soil,30
AdaBoost,wall-robot-navigation,30
SVC,abalone,1
SVC,BachChoralHarmony,10
SVC,bank,10
SVC,cancer,10
SVC,car,10
SVC,default of credit card clients,0.1
SVC,drug,10
SVC,electricity-normalized,10
SVC,fried,0.001
SVC,frogs,10
SVC,german,0.1
SVC,house,0.001
SVC,iris,1
SVC,letter,10
SVC,mushrooms,0.001
SVC,mv,0.001
SVC,numerai28.6,0.001
SVC,nursery,0.1
SVC,phoneme,0.001
SVC,ringnorm,0.001
SVC,Run_or_walk_information,0.001
SVC,shuttle,10
SVC,soybean,1
SVC,stars,10
SVC,visualizing_soil,10
SVC,wall-robot-navigation,10
