name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,DecisionTree,0.17160110399716227,0.1691507025630124,0.16219344407684294,0.1627869080642585,0.1614602365631857,0.1613583309157447,0.16703364060307668,0.16378994166790045,0.16219344407684294
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,LogisticRegression,0.15955245965731885,0.13383938899252626,0.15740130069643876,0.1577447364478164,0.15751087588630808,0.15791620827920505,0.15741213075777521,0.16026395062417886,0.15720779912240318
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,KNN,0.15420376803784805,0.15391845483796895,0.15451609765528324,0.146776450271099,0.15309468115669367,0.1585763462799244,0.17176860655180504,0.15260629398353578,0.1490696745948612
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,RandomForest,0.1721049854373192,0.16301423863614312,0.16306592336226258,0.16007407623886694,0.16303518267576422,0.16291749024464308,0.17216044008848522,0.16066910226636988,0.16305469834597863
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,AdaBoost,0.07974096722323251,0.08862605397164972,0.08989905804015004,0.09012652998562438,0.08989905804015004,0.08989905804015004,0.09011784333070567,0.07939261935801681,0.08989905804015004
abalone,'Length',4177.0,0.485,0.0595,0.13,0.815,0.5252,0.545,0.1199,-0.6468,0.1032,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.4886,0.0058,SVC,0.1631950193762117,0.13386252525413517,0.1500736805815181,0.15138706070005953,0.1497487268597566,0.15028030103647957,0.15189051958525732,0.1608504013020038,0.15026153196748435
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,DecisionTree,0.17952669476567434,0.16622000933996922,0.18061069294365664,0.18061069294365664,0.1756271010491085,0.17491160842963024,0.17729268775583656,0.17722689562560076,0.17989520032417838
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,LogisticRegression,0.18186574134769795,0.1647007159633099,0.17959418178196457,0.18020809659889064,0.17971822440490126,0.18063557500207364,0.1793747192932604,0.182219066595102,0.1805595819518583
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,KNN,0.1717791946361793,0.16200573048268788,0.1583766053958714,0.15881786992424796,0.16949560982094586,0.16519678155738285,0.16373371217670063,0.16594620095440463,0.16969642644371408
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,RandomForest,0.1909584235558013,0.17499756617561668,0.18144778004093107,0.18179627841536636,0.18199535147163148,0.18176466870988733,0.18347615887917534,0.18736736946088234,0.1820770346309033
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,AdaBoost,0.09781759176334166,0.10525781585493851,0.09231315594711292,0.09231315594711292,0.09231315594711292,0.09231315594711292,0.09915935999322423,0.09758255620197726,0.09231315594711292
abalone,'Length',4177.0,0.4719,0.058,0.075,0.815,0.5258,0.545,0.118,-0.6317,0.1091,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4798,0.0058,SVC,0.17999090214426794,0.1626975928563546,0.17470902711274244,0.17458728731201595,0.17429752253051337,0.17503272108491463,0.17481906519172713,0.1808692611532683,0.17516652198679766
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,DecisionTree,0.17643424359405535,0.18070107818038783,0.17192863188012075,0.17136060558980848,0.17146584800215592,0.17146584800215592,0.17082655764892624,0.16960562133858664,0.16933275643059215
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,LogisticRegression,0.17322007554193786,0.15853443807714765,0.1802335971641349,0.18006685775224537,0.18049574633896895,0.18015574670174744,0.18218156283252776,0.1698502243643006,0.1777608291670242
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,KNN,0.16892165524667838,0.1695970055892715,0.17112121398989194,0.17600627238528066,0.1737906936788072,0.17075126901464957,0.16706163598301466,0.17673217117543102,0.16965323977275892
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,RandomForest,0.1884724463713986,0.17919665964810896,0.18301122472719933,0.1851423727436188,0.18267545213936065,0.18221717933287154,0.18591777410975735,0.18149654973528,0.18374889361137528
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,AdaBoost,0.1016130007983489,0.09109546552881136,0.09587522016993888,0.09587522016993888,0.09587522016993888,0.09587522016993888,0.10165429053690486,0.10146804973489247,0.09587522016993888
abalone,'Length',4177.0,0.4137,0.0543,0.075,0.815,0.5241,0.545,0.1218,-0.6571,0.0716,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5155,0.0054,SVC,0.1747628415530892,0.1627949804054172,0.17527433642905849,0.17652597586507923,0.17625462313434925,0.17609030868723052,0.17585715725913192,0.17143958824363612,0.17725261299686315
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,DecisionTree,0.17503011449271783,0.17451893038090646,0.18077020393339077,0.18077020393339077,0.18077020393339077,0.18077020393339077,0.18247812758531842,0.17807712365913322,0.1807213812191238
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,LogisticRegression,0.17731320303262427,0.16515568812596593,0.18018006485781882,0.18138609263960978,0.18084786744310644,0.1806500298394318,0.17879057628291525,0.17281500675255546,0.1805276512185035
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,KNN,0.16936904702968386,0.1687133174777367,0.1718886312207969,0.17719124597690897,0.17227642166228033,0.1713933761632588,0.18470181793174706,0.1727440547836148,0.17551303724816544
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,RandomForest,0.1810253246205785,0.17527159600489525,0.17954744028520037,0.17927227333077195,0.17923233493509255,0.17954894595841298,0.18035495377492142,0.17862668114667002,0.17864512841436037
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,AdaBoost,0.08918586508089356,0.09372726268819723,0.09304631940157858,0.09304631940157858,0.09304631940157858,0.09304631940157858,0.09651331932132426,0.08918586508089356,0.09304631940157858
abalone,'Length',4177.0,0.361,0.0495,0.11,0.815,0.5244,0.545,0.1209,-0.6365,0.0943,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5212,0.0055,SVC,0.17864457541492923,0.163396839107386,0.17205316699805512,0.17114156166544028,0.17113787652540136,0.17102652914387917,0.17215534888996986,0.17782201925907148,0.1701706486911294
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,DecisionTree,0.1792703292081228,0.18703247546799376,0.1809875397053871,0.1809875397053871,0.1809875397053871,0.18047848471259648,0.17831505474698622,0.17477315900820717,0.18147327471735866
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,LogisticRegression,0.1822553254576152,0.1750425975030354,0.18969200491463767,0.18976806928217724,0.18945839543109472,0.18882853739261216,0.18819014502030346,0.18338569242999894,0.1887294191648135
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,KNN,0.1740354992824761,0.17535850542486972,0.17470332620779158,0.1767766455781493,0.17433303962303712,0.1721773933577809,0.1795843162621409,0.1830996924526598,0.17695757635694415
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,RandomForest,0.19016359475805647,0.18520421110953317,0.19238549809596445,0.19263986738426153,0.19234326721451894,0.19366516052724203,0.1906210738342837,0.19011617929702315,0.1941336055487689
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,AdaBoost,0.09979637360101737,0.08957110202599369,0.09378754470780674,0.09378754470780674,0.09378754470780674,0.09408555860830427,0.09417897656006584,0.0881717946403565,0.09408555860830427
abalone,'Length',4177.0,0.3036,0.0443,0.075,0.8,0.5254,0.545,0.1194,-0.6226,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5049,0.0058,SVC,0.1814602233291483,0.16286950870796327,0.1771283181498964,0.17699494417829842,0.17761928159640783,0.17628979440364542,0.17352464204856444,0.17975387246076813,0.1774191934704496
abalone,'Length',4177.0,0.2499,0.0425,0.075,0.815,0.5227,0.54,0.1206,-0.6316,0.0616,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5197,0.0055,DecisionTree,0.19244412551786383,0.20527848645174254,0.18744359550729708,0.1872154212360606,0.18744359550729708,0.1872154212360606,0.19164127639280423,0.17770108692574343,0.18744359550729708
abalone,'Length',4177.0,0.2499,0.0425,0.075,0.815,0.5227,0.54,0.1206,-0.6316,0.0616,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5197,0.0055,LogisticRegression,0.20217528172536003,0.19168841840375403,0.20382440253937256,0.20387490028740934,0.20352841454569512,0.20429563832210604,0.20325187056874652,0.19900708572340634,0.20325782208884602
abalone,'Length',4177.0,0.2499,0.0425,0.075,0.815,0.5227,0.54,0.1206,-0.6316,0.0616,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5197,0.0055,KNN,0.17950824655115755,0.1772772140320513,0.18029470052426672,0.18314525908955384,0.18221529514728416,0.1775996937626197,0.18005332390903192,0.176991898274784,0.18221898540157888
abalone,'Length',4177.0,0.2499,0.0425,0.075,0.815,0.5227,0.54,0.1206,-0.6316,0.0616,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5197,0.0055,RandomForest,0.20276273045577398,0.2002973244103664,0.20086228552293003,0.19942218860522934,0.1993076922141626,0.20026030350891422,0.2020902481330378,0.19954097600507198,0.2009002124769101
abalone,'Length',4177.0,0.2499,0.0425,0.075,0.815,0.5227,0.54,0.1206,-0.6316,0.0616,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5197,0.0055,AdaBoost,0.08829459807127782,0.09882072500946265,0.09581920334161026,0.09581920334161026,0.09581920334161026,0.09581920334161026,0.09581920334161026,0.08829459807127782,0.09581920334161026
