iter	RMSE
0	1.101725072
1	1.09952242
2	1.097463486
3	1.095846545
4	1.094182395
5	1.093018204
6	1.091649924
7	1.090535386
8	1.089725983
9	1.088669439
10	1.087687617
11	1.086413645
12	1.085343349
13	1.084433992
14	1.083672298
15	1.083214659
16	1.082406212
17	1.081656645
18	1.080800983
19	1.080143802
20	1.079505447
21	1.079043538
22	1.078826733
23	1.078643784
24	1.077943668
25	1.077315601
26	1.076887283
27	1.076386991
28	1.075811577
29	1.075564768
30	1.075495352
31	1.075073433
32	1.074773119
33	1.074485661
34	1.074139299
35	1.073789979
36	1.07346915
37	1.07311966
38	1.072727608
39	1.071959798
40	1.071351719
41	1.071065017
42	1.070666987
43	1.070049863
44	1.069516928
45	1.069338461
46	1.069103184
47	1.06860306
48	1.067965427
49	1.067626648
50	1.067261327
51	1.067059153
52	1.066894084
53	1.066703888
54	1.066233439
55	1.065842294
56	1.065637247
57	1.065316678
58	1.065062302
59	1.064860003
60	1.064576208
61	1.064330237
62	1.064187323
63	1.064158633
64	1.064004945
65	1.063603641
66	1.063348328
67	1.062965248
68	1.062962269
69	1.062783979
70	1.062256771
71	1.062089594
72	1.061994033
73	1.0618377
74	1.061522235
75	1.061182205
76	1.061136564
77	1.060679997
78	1.060554518
79	1.059934921
80	1.0598205
81	1.059378561
82	1.059101706
83	1.058874438
84	1.058695016
85	1.058519563
86	1.058394485
87	1.058165782
88	1.057961454
89	1.057722085
90	1.057566148
91	1.057346022
92	1.05707098
93	1.05706542
94	1.05702775
95	1.056671041
96	1.056551444
97	1.056479899
98	1.056315097
99	1.05623917
100	1.055994297
101	1.055948709
102	1.055765721
103	1.055652608
104	1.055477596
105	1.055467866
106	1.055172919
107	1.055045638
108	1.054756948
109	1.054426133
110	1.054296194
111	1.053739695
112	1.053488463
113	1.053373102
114	1.053155461
115	1.053058724
116	1.05286855
117	1.052587643
118	1.052391085
119	1.052157398
120	1.052033767
121	1.051795084
122	1.051447708
123	1.051383159
124	1.051382477
125	1.051201747
126	1.050982507
127	1.0507717
128	1.050458659
129	1.050346901
130	1.05007596
131	1.049915953
132	1.049724771
133	1.049713771
134	1.049581608
135	1.049312918
136	1.049303839
137	1.049063375
138	1.048922303
139	1.048661633
140	1.048230409
141	1.048052174
142	1.047910621
143	1.047563859
144	1.047189976
145	1.046962372
146	1.046853717
147	1.046704692
148	1.046634826
149	1.046281786
150	1.046049461
151	1.046041912
152	1.045889869
153	1.045762331
154	1.045611709
155	1.045480158
156	1.04528404
157	1.045042058
158	1.044886427
159	1.044590968
160	1.044351842
161	1.044203682
162	1.044027837
163	1.043814208
164	1.043599774
165	1.043570722
166	1.043333813
167	1.043268658
168	1.043135343
169	1.042966431
170	1.042862968
171	1.04276888
172	1.042245519
173	1.04215662
174	1.04187492
175	1.041602893
176	1.041419411
177	1.04126689
178	1.040903653
179	1.040733421
180	1.040443805
181	1.040180872
182	1.040175258
183	1.039981119
184	1.039896573
185	1.039774727
186	1.039700221
187	1.039425037
188	1.039287851
189	1.039032032
190	1.038822542
191	1.038799243
192	1.038660147
193	1.038397691
194	1.03822216
195	1.038048641
196	1.037883518
197	1.037757155
198	1.037678817
199	1.037505844
