iter	Passed	Remaining
0	19	3886
1	45	4481
2	86	5668
3	102	5036
4	138	5383
5	160	5204
6	194	5357
7	231	5551
8	298	6334
9	314	5969
10	334	5742
11	379	5952
12	420	6044
13	460	6121
14	507	6260
15	552	6354
16	579	6236
17	626	6338
18	692	6594
19	716	6452
20	747	6367
21	769	6229
22	812	6253
23	858	6298
24	874	6123
25	928	6212
26	974	6240
27	990	6085
28	1032	6088
29	1051	5957
30	1082	5900
31	1116	5862
32	1137	5758
33	1178	5754
34	1215	5730
35	1265	5763
36	1302	5737
37	1325	5648
38	1339	5528
39	1372	5488
40	1420	5507
41	1454	5473
42	1469	5363
43	1522	5399
44	1567	5397
45	1589	5321
46	1653	5384
47	1682	5327
48	1697	5230
49	1748	5246
50	1792	5236
51	1824	5193
52	1870	5187
53	1906	5154
54	1948	5136
55	1975	5078
56	1995	5006
57	2024	4957
58	2065	4937
59	2082	4858
60	2133	4861
61	2185	4865
62	2216	4820
63	2253	4789
64	2301	4780
65	2346	4763
66	2377	4718
67	2423	4704
68	2466	4682
69	2511	4664
70	2528	4593
71	2556	4544
72	2572	4474
73	2596	4420
74	2631	4385
75	2664	4347
76	2692	4301
77	2727	4266
78	2743	4201
79	2783	4175
80	2815	4136
81	2830	4072
82	2857	4027
83	2910	4019
84	2961	4007
85	2978	3948
86	2999	3896
87	3030	3856
88	3042	3795
89	3089	3776
90	3114	3730
91	3137	3682
92	3175	3653
93	3215	3625
94	3257	3600
95	3276	3549
96	3302	3507
97	3308	3443
98	3321	3388
99	3350	3350
100	3374	3307
101	3380	3248
102	3406	3208
103	3444	3179
104	3461	3131
105	3493	3097
106	3523	3062
107	3530	3007
108	3547	2961
109	3574	2924
110	3586	2875
111	3619	2843
112	3624	2790
113	3656	2758
114	3690	2727
115	3701	2680
116	3724	2642
117	3742	2600
118	3758	2558
119	3774	2516
120	3780	2468
121	3787	2421
122	3793	2374
123	3816	2339
124	3822	2293
125	3847	2259
126	3879	2230
127	3902	2195
128	3910	2152
129	3941	2122
130	3962	2087
131	3990	2055
132	4015	2022
133	4072	2005
134	4137	1992
135	4161	1958
136	4205	1934
137	4215	1894
138	4261	1870
139	4383	1878
140	4431	1854
141	4471	1826
142	4506	1796
143	4548	1769
144	4583	1738
145	4640	1716
146	4681	1687
147	4723	1659
148	4735	1620
149	4771	1590
150	4790	1554
151	4809	1518
152	4852	1490
153	4885	1459
154	4919	1428
155	4936	1392
156	4959	1358
157	4966	1320
158	4983	1284
159	5019	1254
160	5030	1218
161	5041	1182
162	5069	1150
163	5110	1121
164	5117	1085
165	5133	1051
166	5178	1023
167	5211	992
168	5228	959
169	5261	928
170	5271	894
171	5304	863
172	5337	833
173	5371	802
174	5408	772
175	5439	741
176	5472	711
177	5503	680
178	5538	649
179	5549	616
180	5583	586
181	5617	555
182	5650	524
183	5683	494
184	5705	462
185	5737	431
186	5774	401
187	5803	370
188	5839	339
189	5867	308
190	5900	278
191	5933	247
192	5967	216
193	5998	185
194	6032	154
195	6065	123
196	6097	92
197	6129	61
198	6161	30
199	6195	0
