name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,DecisionTree,0.9742567828413417,0.9541639957264957,0.942123778998779,0.9578305722055722,0.9582661782661783,0.9578980374200963,0.9698628434474023,0.9743236277611278,0.9624646534021534
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,LogisticRegression,0.9449668579719508,0.922792974529685,0.9066433779389117,0.9333830503035843,0.9246012533967873,0.9449668579719508,0.9449668579719508,0.9119160682116021,0.9449668579719508
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,KNN,0.8018843899380064,0.7386831514527593,0.7489562956492317,0.7687183776216795,0.7924845982616586,0.7927848381487994,0.7913184929571564,0.7509885146406683,0.7399329029702579
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,RandomForest,0.9574773374773375,0.9665102258852258,0.9462660256410256,0.9493645474895474,0.944783885096385,0.9658513708513707,0.9622764041514041,0.9702106227106227,0.9624096967846968
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Age,200.0,0.455,0.4495,15.0,74.0,43.9358,45.0,16.0151,-0.0201,-1.1058,13.0,27.0,0.0439,0.0439,0.0094,0.0094,0.011,0.011,3.7532,0.023,SVC,0.9078798037715718,0.8844610447258074,0.8752746463368083,0.9116429868966266,0.8927876482365624,0.9123340521375849,0.8950285231729145,0.9026443876735379,0.8684542073142928
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,DecisionTree,0.9389600214600214,0.9479784798534798,0.941043956043956,0.944703144078144,0.9361624024124025,0.9435623383968972,0.9233943833943833,0.9434963688272511,0.9392079489138312
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,LogisticRegression,0.9134561524002314,0.877637371407933,0.9336682049637388,0.912292493754955,0.8998490252327944,0.9055945001635791,0.9016262461953252,0.8841624258741639,0.9074874684888847
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,KNN,0.7879845343676888,0.7258408720999436,0.735319494658717,0.796199736292736,0.7655924577618212,0.7830419246050874,0.7704304958359917,0.7359063829615694,0.7624360583056236
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,RandomForest,0.9350423881673882,0.9389213564213565,0.9244264416139416,0.9345299145299146,0.926818181818182,0.9261976911976912,0.9277941502941502,0.9266418997668998,0.9316942004074358
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Age,200.0,0.435,0.4425,15.0,74.0,45.2035,47.0,16.2857,-0.1314,-0.9768,12.0,26.0,0.1157,0.1157,0.0641,0.0641,0.103,0.103,3.7748,0.0224,SVC,0.9030235149907463,0.8644539871708622,0.8652721689658851,0.902451815538873,0.8804500096791986,0.8982030107947123,0.882832538402181,0.8623854392458773,0.8745025614127278
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,DecisionTree,0.9874114774114775,0.9790781440781441,0.9701149708135002,0.9830175380175381,0.9741229073214368,0.9790781440781441,0.9499653124653125,0.9786986277611278,0.9750702075702076
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,LogisticRegression,0.9289780552854816,0.9273541510241043,0.9506602600346369,0.9370247077071341,0.9343930691931427,0.9363220933280492,0.9212575119399384,0.935776739600269,0.9366332515532048
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,KNN,0.741121498612161,0.6992309005663513,0.7454590468620707,0.7679922875327287,0.7855974368042586,0.7402463911546068,0.7294886328905754,0.7106986161715921,0.7247635783644817
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,RandomForest,0.9744645332880627,0.966223792547322,0.9655858030858031,0.9792612942612943,0.9667185592185592,0.966223792547322,0.9457437656905742,0.9611772486772487,0.966223792547322
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Age,200.0,0.35,0.4,16.0,74.0,45.6077,47.0,16.1943,-0.0641,-1.0751,13.0,26.0,0.0598,0.0598,0.0324,0.0324,0.0488,0.0488,3.7772,0.0226,SVC,0.8882702642934587,0.8476792727876974,0.9213824862455142,0.9166161720446084,0.9094038732600335,0.8960175281424777,0.8794301975837766,0.8462829231364252,0.8492094632095268
drug,Age,200.0,0.36,0.4297,15.0,74.0,43.0703,42.0,15.9478,0.1204,-0.9356,12.5,25.0,0.1036,0.1036,0.0723,0.0723,0.1056,0.1056,3.8646,0.0192,DecisionTree,0.9530704711954712,0.9565300671550672,0.9330944055944056,0.9357618362030127,0.9415995115995117,0.9454720606191195,0.9527763535484124,0.9488835470085469,0.9371123321123321
