name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,DecisionTree,0.9521459517064668,0.9465736673720173,0.9519639567819289,0.9521459517064668,0.9521459517064668,0.9519601195727445,0.952250222494303,0.9521500441136679,0.9521257257612978
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,LogisticRegression,0.9492044863920183,0.9480393237289477,0.9494101699746046,0.9497957412745333,0.9498767130412861,0.9489571297449059,0.9496518318447517,0.9486349116665042,0.9496927932098901
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,KNN,0.9495554792442378,0.9481066151650848,0.947946418303734,0.9486883936020329,0.9486010296899922,0.9494759025498145,0.9494591184599686,0.9488750495307268,0.949137266249242
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,RandomForest,0.9525878551166316,0.9523675096887274,0.9520966810280899,0.9523339403096037,0.9522592993967668,0.952589283458578,0.9524124563992888,0.952771983224857,0.9525455114596283
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,AdaBoost,0.9522319526311552,0.9494762354492368,0.9515531446328501,0.9526608224143314,0.951949357412188,0.9523518713879591,0.9524702718611571,0.9523065034716167,0.952256648089098
mv,x4,40768.0,0.5022,0.9771,-7.4999,2.4996,-4.3983,-5.7221,3.0221,0.9758,-0.5837,1.0595,4.8809,0.008,0.7014,0.0072,0.5023,0.0108,0.6656,9.886,0.0,SVC,0.9143970390330347,0.9060207593455574,0.9257562239123331,0.9264193555066876,0.9269243972086975,0.9176068104709735,0.9145026531777388,0.9129151524300172,0.9261917528516409
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,DecisionTree,0.9531331964234286,0.9482448435199714,0.9532164726435947,0.9531540910249886,0.9531331964234286,0.9531331964234286,0.9529768678129416,0.953258605284106,0.9531129616664873
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,LogisticRegression,0.9511988466899306,0.9487616719793797,0.9509501022819673,0.9513184300742603,0.9513808532264414,0.9505650059233282,0.9515253626270315,0.9506490180134017,0.951382081852459
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,KNN,0.9515928604861386,0.949715710010593,0.9504400242705919,0.9508948955166173,0.9507703867457274,0.9512310359831762,0.9515536596209726,0.9504716775063289,0.9508050798788862
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,RandomForest,0.9535084151477339,0.9529327511744995,0.9540976645100017,0.953937465452944,0.9536260844214833,0.952844365285899,0.9544060974479003,0.9540716675450929,0.9532403749984908
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,AdaBoost,0.9541061338254924,0.9502074181385604,0.9526549866303666,0.9533526918269734,0.9535147814367724,0.9536808523903729,0.9538286301428119,0.9535795426314749,0.9532856722291794
mv,x4,40768.0,0.4502,0.9762,-7.4995,2.4997,-4.4073,-5.7298,3.0134,0.9791,-0.5696,1.045,4.8738,0.0057,0.6997,0.0019,0.4986,0.0029,0.6612,9.984,0.0,SVC,0.91452965831401,0.9069120259428685,0.9246136627932812,0.9251616940587751,0.9254492853116347,0.9179045871456541,0.915209254255344,0.9125379610572397,0.9251355108910457
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,DecisionTree,0.9532371957628789,0.9489290032719289,0.9532614466772302,0.9532169601504473,0.9531967447770046,0.9532371957628789,0.952757721065129,0.9534650374695373,0.9532371957628789
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,LogisticRegression,0.9507754503967858,0.949329719392713,0.9509390563880809,0.950731985610416,0.9508762637670481,0.950409797500753,0.9507586445232611,0.9501477314703025,0.9508568873447214
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,KNN,0.9512071359414566,0.9490674612831591,0.9506271605387913,0.9509950974382261,0.9514452974147646,0.9510868810533143,0.9514912108237727,0.9504405419015902,0.9508110854729684
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,RandomForest,0.9544191389590769,0.9529846393213528,0.9539301866643841,0.9539571954490775,0.9542863523418359,0.9535328364513229,0.9539841323530063,0.9547247989660512,0.9538989972605368
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,AdaBoost,0.9534887498296922,0.9502641552375071,0.95290249654828,0.9532908679330843,0.9531959147289257,0.9533289523365265,0.9532863139608373,0.9531973237221631,0.9533449987100038
mv,x4,40768.0,0.3991,0.9735,-7.4999,2.4986,-4.3973,-5.7285,3.0237,0.9741,-0.5874,1.0528,4.8883,0.0032,0.7022,0.0026,0.5014,0.0039,0.665,10.0691,0.0,SVC,0.9169936349586628,0.9096708328249601,0.9237792437042154,0.924264174341118,0.9244946110255935,0.918171914886655,0.9171889645513999,0.9141447648756919,0.9242929518388956
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,DecisionTree,0.9538754699198883,0.9509079408067916,0.9533480963592618,0.9538754699198883,0.9538754699198883,0.9538336798681065,0.9530038578928611,0.9535982060650525,0.9537952758033302
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,LogisticRegression,0.950614253291758,0.9490578088329933,0.9508618745326483,0.9508584612504077,0.9508981127779184,0.9503271805659402,0.9507759063985665,0.9500031038342601,0.9509166929225078
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,KNN,0.9515385235984426,0.9497236468375729,0.9509843308555235,0.9501083900467124,0.9509409358400919,0.9514141656148514,0.9517030495872555,0.9512426932857626,0.950457094475842
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,RandomForest,0.9552227224471996,0.9549202713579568,0.9539742007526147,0.9543823523581739,0.9543917301775362,0.9552540481487493,0.9555052583868967,0.9551135584137855,0.9544510707650358
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,AdaBoost,0.9548162123635712,0.9504085270416808,0.9542096217155654,0.9547957210511906,0.9544288890584203,0.9549420788930021,0.9541955623667666,0.9542280369989876,0.9545212449631836
mv,x4,40768.0,0.3518,0.9715,-7.4998,2.4997,-4.3762,-5.7219,3.0358,0.9614,-0.6174,1.0605,4.9122,0.0056,0.7024,0.0047,0.5014,0.007,0.6648,10.1422,0.0,SVC,0.9178848022878489,0.9097860943406686,0.9232206836036878,0.9231422098626841,0.9232214335283964,0.9187895622730586,0.9186482725064103,0.9166811038768391,0.9230968996394563
mv,x4,40768.0,0.307,0.9699,-7.4998,2.4997,-4.3962,-5.7243,3.0236,0.9718,-0.5926,1.0547,4.8957,0.0125,0.7016,0.0095,0.5024,0.0142,0.6659,10.2067,0.0,DecisionTree,0.9541456032691915,0.9517427246297792,0.9541054590611004,0.9541456032691915,0.9542072610472133,0.9541456032691915,0.9540865311781555,0.9540871887575659,0.9541456032691915
